,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,paper_title,pdbx_model_details,pdbx_model_type_details,Hchain,Lchain,antigen_chain,antigen_type,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,method,pmid
7NEH,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-269 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2 B.1.1.7 VARIANT, N501Y MUTATION, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",REDUCED NEUTRALIZATION OF SARS-COV-2 B.1.1.7 VARIANT BY CONVALESCENT AND VACCINE SERA.,,,H,L,E,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/03/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-269 FAB,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.",X-RAY DIFFRACTION,NONE
7WC0,N,,CRYSTAL STRUCTURE OF FAB REGION OF TAU-2212 NEUTRALIZING SARS-COV-2,IMMUNE SYSTEM,IMMUNE SYSTEM,CONFORMATIONAL FLEXIBILITY IN NEUTRALIZATION OF SARS-COV-2 BY NATURALLY ELICITED ANTI-SARS-COV ANTIBODIES,,,H,L,,,,IMMUNE SYSTEM,08/10/22,CRYSTAL STRUCTURE OF FAB REGION OF TAU-2212 NEUTRALIZING SARS-COV-2,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"XIANG, Y., LI, R., MA, B.",X-RAY DIFFRACTION,NONE
7NLL,N,,SARS-COV-2 SPIKE RBD (DIMER) IN COMPLEX WITH TWO FU2 NANOBODIES,VIRAL PROTEIN,"NANOBODY, SPIKE, COMPLEX, DIMER, VIRAL PROTEIN",A BISPECIFIC MONOMERIC NANOBODY INDUCES SPIKE TRIMER DIMERS AND NEUTRALIZES SARS-COV-2 IN VIVO.,,,A,,D,PROTEIN,SURFACE GLYCOPROTEIN,VIRAL PROTEIN,02/02/22,SARS-COV-2 SPIKE RBD (DIMER) IN COMPLEX WITH TWO FU2 NANOBODIES,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS,VICUGNA PACOS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DAS, H., HALLBERG, B.M.",ELECTRON MICROSCOPY,NONE
7WK8,N,,SARS-COV-2 OMICRON SPIKE PROTEIN SD1 IN COMPLEX WITH S3H3 FAB,VIRAL PROTEIN,"SARS-COV-2, CORONAVIRUS, OMICRON VARIANT, B.1.1.529 LINEAGE, SPIKE PROTEIN, VIRAL PROTEIN",MOLECULAR BASIS OF RECEPTOR BINDING AND ANTIBODY NEUTRALIZATION OF OMICRON.,,,C,D,A | B,PROTEIN | PEPTIDE,SPIKE GLYCOPROTEIN | SPIKE GLYCOPROTEIN,VIRAL PROTEIN,01/26/22,SARS-COV-2 OMICRON SPIKE PROTEIN SD1 IN COMPLEX WITH S3H3 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2  | SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"HONG, Q., CONG, Y.",ELECTRON MICROSCOPY,NONE
7RA8,N,,SARS-COV-2 S GLYCOPROTEIN IN COMPLEX WITH S2X259 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE GLYCOPROTEIN, FAB S2X259, VIRAL PROTEIN, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",BROAD SARBECOVIRUS NEUTRALIZATION BY A HUMAN MONOCLONAL ANTIBODY.,,,C,D,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/04/21,SARS-COV-2 S GLYCOPROTEIN IN COMPLEX WITH S2X259 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"VEESLER, D., TORTORICI, M.A., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",ELECTRON MICROSCOPY,NONE
8DI5,N,,CRYO-EM STRUCTURE OF SARS-COV-2 BETA (B.1.351) SPIKE PROTEIN IN COMPLEX WITH VH DOMAIN F6 (FOCUSED REFINEMENT OF RBD AND VH F6),VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, GLYCOPROTEIN, FUSION PROTEIN, VIRAL PROTEIN, VH DOMAIN, F6, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",POTENT AND BROAD NEUTRALIZATION OF SARS-COV-2 VARIANTS OF CONCERN (VOCS) INCLUDING OMICRON SUB-LINEAGES BA.1 AND BA.2 BY BIPARATOPIC HUMAN VH DOMAINS.,,,H,,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/24/22,CRYO-EM STRUCTURE OF SARS-COV-2 BETA (B.1.351) SPIKE PROTEIN IN COMPLEX WITH VH DOMAIN F6 (FOCUSED REFINEMENT OF RBD AND VH F6),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHU, X., SAVILLE, J.W., MANNAR, D., BEREZUK, A.M., SUBRAMANIAM, S.",ELECTRON MICROSCOPY,NONE
6UDA,N,"CH505.N279K.G458Y.SOSIP.664 GP120, CH235 UCA HEAVY CHAIN FAB, CH505.N279K.G458Y.SOSIP.664 GP41, CH235 UCA LIGHT CHAIN FAB",CRYO-EM STRUCTURE OF CH235UCA BOUND TO MAN5-ENRICHED CH505.N279K.G458Y.SOSIP.664,VIRAL PROTEIN/IMMUNE SYSTEM,"CH235 LINEAGE, CH505 VIRUS, VACCINE DESIGN, CRYO-EM, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",NEUTRALIZATION-GUIDED DESIGN OF HIV-1 ENVELOPE TRIMERS WITH HIGH AFFINITY FOR THE UNMUTATED COMMON ANCESTER OF CH235 LINEAGE CD4BS BROADLY NEUTRALIZING ANTIBODIES.,,,K,L,I,PROTEIN,CH505.N279K.G458Y.SOSIP.664 GP120,VIRAL PROTEIN/IMMUNE SYSTEM,09/19/19,CRYO-EM STRUCTURE OF CH235UCA BOUND TO MAN5-ENRICHED CH505.N279K.G458Y.SOSIP.664,HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,HUMAN IMMUNODEFICIENCY VIRUS 1,"HENDERSON, R., ACHARYA, P.",ELECTRON MICROSCOPY,NONE
7K3Q,N,"FAB FRAGMENT OF S2E12 MONOCLONAL ANTIBODY, HEAVY CHAIN, FAB FRAGMENT OF S2E12 MONOCLONAL ANTIBODY, LIGHT CHAIN",AN ULTRA-POTENT HUMAN NEUTRALIZING ANTIBODY LOCKS THE SARS-COV-2 SPIKE IN THE CLOSED CONFORMATION,IMMUNE SYSTEM,"SARS-COV-2, NEUTRALIZING MAB, ANTIVIRAL PROTEIN, IMMUNE SYSTEM",ULTRAPOTENT HUMAN ANTIBODIES PROTECT AGAINST SARS-COV-2 CHALLENGE VIA MULTIPLE MECHANISMS.,,,H,L,,,,IMMUNE SYSTEM,09/12/20,AN ULTRA-POTENT HUMAN NEUTRALIZING ANTIBODY LOCKS THE SARS-COV-2 SPIKE IN THE CLOSED CONFORMATION,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"SNELL, G., CZUDNOCHOWSKI, N., NG, C.",X-RAY DIFFRACTION,NONE
7ORA,N,,CRYSTAL STRUCTURE OF THE T478K MUTANT RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-45 AND COVOX-253 FABS,VIRAL PROTEIN,"SARS-COV-2 B.1.1.7 VARIANT, B.1.351 VARIANT, P.1 VARIANT, B.1.617 VARIANT, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN",REDUCED NEUTRALIZATION OF SARS-COV-2 B.1.617 BY VACCINE AND CONVALESCENT SERUM.,,,H,L,C,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,07/07/21,CRYSTAL STRUCTURE OF THE T478K MUTANT RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-45 AND COVOX-253 FABS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.I.",X-RAY DIFFRACTION,NONE
7E3B,N,,SARS-COV-2 SPIKE IN COMPLEX WITH THE AB5 NEUTRALIZING ANTIBODY (FOCUSED REFINEMENT ON FAB-RBD),VIRAL PROTEIN/IMMUNE SYSTEM,"SPIKE, SARS-COV-2, ANTIBODY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THREE EPITOPE-DISTINCT HUMAN ANTIBODIES FROM RENMAB MICE NEUTRALIZE SARS-COV-2 AND COOPERATIVELY MINIMIZE THE ESCAPE OF MUTANTS.,,,B,C,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,09/01/21,SARS-COV-2 SPIKE IN COMPLEX WITH THE AB5 NEUTRALIZING ANTIBODY (FOCUSED REFINEMENT ON FAB-RBD),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LIU, C.",ELECTRON MICROSCOPY,NONE
7N3E,N,,CRYSTAL STRUCTURE OF AN ANTI-SARS-COV-2 HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT C032,IMMUNE SYSTEM,"SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS-2, SPIKE PROTEIN, NEUTRALIZING ANTIBODIES, IMMUNE SYSTEM","AFFINITY MATURATION OF SARS-COV-2 NEUTRALIZING ANTIBODIES CONFERS POTENCY, BREADTH, AND RESILIENCE TO VIRAL ESCAPE MUTATIONS.",,,H,L,,,,IMMUNE SYSTEM,08/04/21,CRYSTAL STRUCTURE OF AN ANTI-SARS-COV-2 HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT C032,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"FLYAK, A.I., BJORKMAN, P.J., BARNES, C.O.",X-RAY DIFFRACTION,NONE
7NKT,N,"SURFACE GLYCOPROTEIN, NEUTRALIZING NANOBODY NM1226",RBD DOMAIN OF SARS-COV2 IN COMPLEX WITH NEUTRALIZING NANOBODY NM1226,VIRAL PROTEIN,"RBD, SARS-COV2, NEUTRALIZING NANOBODY, COMPLEX, NM1226, VIRAL PROTEIN",NEUTROBODYPLEX-MONITORING SARS-COV-2 NEUTRALIZING IMMUNE RESPONSES USING NANOBODIES.,,,B,,A,PROTEIN,UNKNOWN,VIRAL PROTEIN,01/08/09,RBD DOMAIN OF SARS-COV2 IN COMPLEX WITH NEUTRALIZING NANOBODY NM1226,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS,,,,"OSTERTAG, E., ZOCHER, G., STEHLE, T.",X-RAY DIFFRACTION,NONE
7P78,N,,SARS-COV-2 SPIKE PROTEIN IN COMPLEX WITH SYBODY#15 AND SYBODY#68 IN A 1UP/1UP-OUT/1DOWN CONFORMATION,VIRAL PROTEIN,"SARS-COV-2 SPIKE PROTEIN SYBODY, VIRAL PROTEIN",BIPARATOPIC SYBODIES NEUTRALIZE SARS-COV-2 VARIANTS OF CONCERN AND MITIGATE DRUG RESISTANCE.,,,H,,E,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,08/04/21,SARS-COV-2 SPIKE PROTEIN IN COMPLEX WITH SYBODY#15 AND SYBODY#68 IN A 1UP/1UP-OUT/1DOWN CONFORMATION,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; SYNTHETIC CONSTRUCT,SYNTHETIC CONSTRUCT,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WALTER, J.D., HUTTER, C.A.J., GARAEVA, A.A., SCHERER, M., ZIMMERMANN, I., WYSS, M., RHEINBERGER, J., RUEDIN, Y., EARP, J.C., EGLOFF, P., SORGENFREI, M., HUERLIMANN, L.M., GONDA, I., MEIER, G., REMM, S., THAVARASAH, S., ZIMMER, G., SLOTBOOM, D.J., PAULINO, C., PLATTET, P., SEEGER, M.A.",ELECTRON MICROSCOPY,NONE
7Z7X,N,,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 NANOBODY COMPLEX,ANTIVIRAL PROTEIN,"COMPLEX, SPIKE GLYCOPROTEIN, NANOBODY H11-H6, ANTIVIRAL PROTEIN",CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 NANOBODY COMPLEX,,,D,,A,PROTEIN,"SPIKE GLYCOPROTEIN,FIBRITIN",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 NANOBODY COMPLEX,ESCHERICHIA VIRUS T4; LAMA GLAMA; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,LAMA GLAMA,,"SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2, ESCHERICHIA VIRUS T4 ","WECKENER, M., NAISMITH, J.H.",ELECTRON MICROSCOPY,NONE
7CDI,N,,CRYSTAL STRUCTURE OF SARS-COV-2 ANTIBODY P2C-1F11 WITH RBD,VIRAL PROTEIN,"SPIKE, RECEPTOR BINDING DOMAIN, ANTIBODY, VIRAL PROTEIN",ANTIBODY NEUTRALIZATION OF SARS-COV-2 THROUGH ACE2 RECEPTOR MIMICRY.,,,H,L,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,06/19/20,CRYSTAL STRUCTURE OF SARS-COV-2 ANTIBODY P2C-1F11 WITH RBD,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WANG, X., ZHANG, L., GE, J., WANG, R.",X-RAY DIFFRACTION,NONE
7VND,N,,"STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH A HUMAN SINGLE DOMAIN ANTIBODY N3113 (UUD-STATE, STATE 2)",VIRAL PROTEIN,"SARS-COV-2, NANOBODY, ANTIVIRAL PROTEIN, VIRAL PROTEIN",A NON-ACE2 COMPETING HUMAN SINGLE-DOMAIN ANTIBODY CONFERS BROAD NEUTRALIZATION AGAINST SARS-COV-2 AND CIRCULATING VARIANTS.,,,D,,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,11/24/21,"STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH A HUMAN SINGLE DOMAIN ANTIBODY N3113 (UUD-STATE, STATE 2)",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YANG, Z., WANG, Y., KONG, Y., JIN, Y., WU, Y., YING, T.",ELECTRON MICROSCOPY,NONE
7V26,N,,XG005-BOUND SARS-COV-2 S,VIRAL PROTEIN,"SARS-COC-2, SPIKE, ANTIBODIES, VIRAL PROTEIN",AN ULTRAPOTENT PAN-BETA-CORONAVIRUS LINEAGE B ( BETA-COV-B) NEUTRALIZING ANTIBODY LOCKS THE RECEPTOR-BINDING DOMAIN IN CLOSED CONFORMATION BY TARGETING ITS CONSERVED EPITOPE.,,,E,F,E,PROTEIN,XG005 HEAVY CHAIN,VIRAL PROTEIN,10/20/21,XG005-BOUND SARS-COV-2 S,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHAN, W.Q., ZHANG, X., SUN, L., CHEN, Z.G.",ELECTRON MICROSCOPY,NONE
7SOA,N,,SARS-COV-2 S NTD B.1.617.2 DELTA VARIANT + S2L20 LOCAL REFINEMENT,VIRAL PROTEIN/IMMUNE SYSTEM,"DELTA, SPIKE, ANTIBODY, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",MOLECULAR BASIS OF IMMUNE EVASION BY THE DELTA AND KAPPA SARS-COV-2 VARIANTS.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,11/17/21,SARS-COV-2 S NTD B.1.617.2 DELTA VARIANT + S2L20 LOCAL REFINEMENT,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"MCCALLUM, M., VEESLER, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",ELECTRON MICROSCOPY,NONE
2G75,,"IGG HEAVY CHAIN, IGG LIGHT CHAIN",CRYSTAL STRUCTURE OF ANTI-SARS M396 ANTIBODY,IMMUNE SYSTEM,"SARS, S PROTEIN, ANTIBODY, EPITOPES, VACCINES, INHIBITORS, IMMUNE SYSTEM",STRUCTURE OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS RECEPTOR-BINDING DOMAIN COMPLEXED WITH NEUTRALIZING ANTIBODY.,,,A,B,,,,IMMUNE SYSTEM,02/27/06,CRYSTAL STRUCTURE OF ANTI-SARS M396 ANTIBODY,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"PRABAKARAN, P., GAN, J.H., FENG, Y., ZHU, Z.Y., XIAO, X.D., JI, X., DIMITROV, D.S.",X-RAY DIFFRACTION,NONE
7WPD,N,,SARS-COV-2 OMICRON VARIANT S TRIMER COMPLEXED WITH ONE JMB2002 FAB,VIRAL PROTEIN,"SARS-COV-2, OMICRON, S, TRIMER, FAB, ANTIBODY, VIRAL PROTEIN",STRUCTURES OF THE OMICRON SPIKE TRIMER WITH ACE2 AND AN ANTI-OMICRON ANTIBODY.,,,Z,,,,,VIRAL PROTEIN,03/16/22,SARS-COV-2 OMICRON VARIANT S TRIMER COMPLEXED WITH ONE JMB2002 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS; LAMA GLAMA,LAMA GLAMA,,,"YIN, W., XU, Y., XU, P., CAO, X., WU, C., GU, C., HE, X., WANG, X., HUANG, S., YUAN, Q., WU, K., HU, W., HUANG, Z., LIU, J., WANG, Z., JIA, F., XIA, K., LIU, P., WANG, X., SONG, B., ZHENG, J., JIANG, H., CHENG, X., JIANG, Y., DENG, S.J., XU, H.E.",ELECTRON MICROSCOPY,NONE
7M6E,N,"SPIKE GLYCOPROTEIN, BG10-19 FAB HEAVY CHAIN, BG10-19 FAB LIGHT CHAIN","STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT, BG10-19",VIRAL PROTEIN/ANTIVIRAL PROTEIN,"SARS-COV-2, CORONAVIRUS, COVID-19, ANTIBODY, NEUTRALIZING ANTIBODY, RECEPTOR BINDING DOMAIN, SPIKE GLYCOPROTEIN, ANTIVIRAL PROTEIN, VIRAL PROTEIN-ANTIVIRAL PROTEIN COMPLEX",B CELL GENOMICS BEHIND CROSS-NEUTRALIZATION OF SARS-COV-2 VARIANTS AND SARS-COV.,,,D,C,E,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/ANTIVIRAL PROTEIN,05/05/21,"STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT, BG10-19",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"BARNES, C.O., BJORKMAN, P.J.",ELECTRON MICROSCOPY,NONE
7EJZ,N,,COMPLEX STRUCTURE OF ANTIBODY BD-503 AND RBD-S477N OF COVID-19,VIRAL PROTEIN/IMMUNE SYSTEM,"COVID-19, SARS-COV-2, NEUTRALIZATION ANTIBODY, ANTIVIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",COMPLEX STRUCTURE OF ANTIBODY BD-503 AND RBD- OF COVID-19,,,H,L,R,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,04/13/22,COMPLEX STRUCTURE OF ANTIBODY BD-503 AND RBD-S477N OF COVID-19,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"XU, H., WANG, B., ZHAO, T.N., SU, X.D.",X-RAY DIFFRACTION,NONE
7XXL,N,,RBD IN COMPLEX WITH FAB14,IMMUNE SYSTEM/VIRAL PROTEIN,"COMPLEX, RBD, FAB, PROTEIN BINDING, IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX",ENGINEERING SARS-COV-2 COCKTAIL ANTIBODIES INTO A BISPECIFIC FORMAT IMPROVES NEUTRALIZING POTENCY AND BREADTH.,,,A,C,B,PROTEIN,SPIKE PROTEIN S1,IMMUNE SYSTEM/VIRAL PROTEIN,09/14/22,RBD IN COMPLEX WITH FAB14,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LIN, J.Q., TAN, Y.J.E., WU, B., LESCAR, J.",ELECTRON MICROSCOPY,NONE
6C6Y,N,"JC57-14 HEAVY CHAIN, JC57-14 LIGHT CHAIN, SPIKE GLYCOPROTEIN",CRYSTAL STRUCTURE OF MIDDLE-EAST RESPIRATORY SYNDROME (MERS) CORONAVIRUS NEUTRALIZING ANTIBODY JC57-14 ISOLATED FROM A VACCINATED RHESUS MACAQUE IN COMPLEX WITH MERS RECEPTOR BINDING DOMAIN,IMMUNE SYSTEM,"ANTIBODY, NEUTRALIZING, VACCINE, IMMUNE SYSTEM",IMPORTANCE OF NEUTRALIZING MONOCLONAL ANTIBODIES TARGETING MULTIPLE ANTIGENIC SITES ON THE MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS SPIKE GLYCOPROTEIN TO AVOID NEUTRALIZATION ESCAPE.,,,A,B,S,PROTEIN,SPIKE GLYCOPROTEIN,IMMUNE SYSTEM,01/19/18,CRYSTAL STRUCTURE OF MIDDLE-EAST RESPIRATORY SYNDROME (MERS) CORONAVIRUS NEUTRALIZING ANTIBODY JC57-14 ISOLATED FROM A VACCINATED RHESUS MACAQUE IN COMPLEX WITH MERS RECEPTOR BINDING DOMAIN,MACACA MULATTA; BETACORONAVIRUS ENGLAND 1,MACACA MULATTA,MACACA MULATTA,BETACORONAVIRUS ENGLAND 1,"JOYCE, M.G., MASCOLA, J.R., GRAHAM, B.S., KWONG, P.D.",X-RAY DIFFRACTION,NONE
4UBD,,"1968 H3 HA1, 1968 H3 HA2, HEAVY CHAIN, LIGHT CHAIN",CRYSTAL STRUCTURE OF A NEUTRALIZING HUMAN MONOCLONAL ANTIBODY WITH 1968 H3 HA,VIRAL PROTEIN/IMMUNE SYSTEM,"HEMAGGLUTININ, H3N2, MONOCLONAL ANTIBODY, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",A POTENT BROAD-SPECTRUM PROTECTIVE HUMAN MONOCLONAL ANTIBODY CROSSLINKING TWO HAEMAGGLUTININ MONOMERS OF INFLUENZA A VIRUS.,,,S,T,R | U,PROTEIN | PROTEIN,HEMAGGLUTININ HA2 CHAIN | HEMAGGLUTININ HA1 CHAIN,VIRAL PROTEIN/IMMUNE SYSTEM,06/24/15,CRYSTAL STRUCTURE OF A NEUTRALIZING HUMAN MONOCLONAL ANTIBODY WITH 1968 H3 HA,INFLUENZA A VIRUS; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,INFLUENZA A VIRUS | INFLUENZA A VIRUS,"SHORE, D.A., YANG, H., CHO, M., DONIS, R.O., STEVENS, J.",X-RAY DIFFRACTION,NONE
7B3O,N,,CRYSTAL STRUCTURE OF THE SARS-COV-2 RBD IN COMPLEX WITH STE90-C11 FAB,ANTIVIRAL PROTEIN,"NEUTRALIZING ANTIBODIES, SARS-COV-2, RBD, ANTIVIRAL PROTEIN",A SARS-COV-2 NEUTRALIZING ANTIBODY SELECTED FROM COVID-19 PATIENTS BINDS TO THE ACE2-RBD INTERFACE AND IS TOLERANT TO MOST KNOWN RBD MUTATIONS.,,,H,L,E,PROTEIN,SURFACE GLYCOPROTEIN,ANTIVIRAL PROTEIN,12/01/20,CRYSTAL STRUCTURE OF THE SARS-COV-2 RBD IN COMPLEX WITH STE90-C11 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"KLUENEMANN, T., VAN DEN HEUVEL, J.",X-RAY DIFFRACTION,NONE
